英語,学年,品詞,意味
list,3,名,表、リスト
population,3,名,人口、（動物の）個体数
rapidly,3,副,速く、急速に
beginning,3,名,最初の部分
century,3,名,世紀、100年
shock,3,動,…に衝撃［ショック］をあたえる
safely,3,副,安全に
overhunting,3,名,乱獲
oil,3,名,油、石油
spill,3,名,（液体・粉などの）こぼれ、流出
hunting,3,名,狩り、さがし求めること
killer whale,3,名,シャチ
as a result (of),3,連,（…の）結果として
decide to,3,連,…しようと決心する
end,3,動,…を終える
increase,3,動,増える、増加する、増大する
let,3,動,（人）に…させる
native,3,形,（その土地に）固有の、原産の、生粋の
logging,3,名,伐採
traffic accident,3,名,交通事故
research,3,名,研究、調査
categorize,3,動,…を分類する、（…として）類別する
critically,3,副,危機的な、危険な状態で、危うく
citizen,3,名,市民
ecosystem,3,名,生態系
human being,3,名,人間（全体）
relate,3,動,…を（～に）関係させる
action,3,名,アクション、行動
decrease,3,名,（…の）減少
breed,3,動,…を飼育する、繁殖する
release,3,動,…を放す
reach,3,動,…に達する、到着する
nowadays,3,副,このごろは、今日では
continue,3,動,…を続ける
wild,3,名,［the wildで］野生
item,3,名,品目
piece,3,名,部分、断片
cloth,3,名,布、服地
wrap,3,動,…を包む
fold,3,動,…を折る、折りたたむ
convenient,3,形,便利な
instead,3,副,そのかわりに
resource,3,名,資源
a piece of,3,連,1つ［1個、1本、1枚］の…
fold ... up ,3,連,…を折りたたむ
instead of,3,連,…のかわりに
won’t,3,短,will not
keep,3,動,（ずっと）…を持っている、預かる
plastic bag,3,連,ビニール袋
waste,3,動,…をむだに使う
lullaby,3,名,子守歌
road,3,名,道路、道
bomb,3,名,爆弾
lost,3,動,loseの過去形
injure,3,動,…を傷つける
shade,3,名,陰、日陰
dead,3,形,死んだ
weak,3,形,弱い、かすかな
mommy,3,名,お母さん、ママ［momよりは幼い言い方］
cry,3,動,泣く
held,3,動,holdの過去形
hold,3,動,…を持つ、つかむ、抱く
real,3,形,本当の、本物の
all right,3,連,だいじょうぶな
some,3,副,［ 数を表す語とともに用いて］約、およそ
through,3,前,【時間】…の間中
burn,3,名,やけど
life,3,名,生命、命、生き物
rest,3,動,休む、眠る
right,3,形,健康な、調子がいい
tightly,3,副,しっかりと
while,3,名,（少しの）時間、（しばらくの）間
quietly,3,副,静かに、落ち着いて
after a while,3,連,しばらくして
move,3,動,動く、引っこす
nuclear,3,形,核の、原子力の
peace,3,名,平和
bright,3,形,明るい
cloudless,3,形,雲のない
death,3,名,死
sky,3,名,空、大空
U.S.,3,名,the U.S. アメリカ合衆国、米国
president,3,名,大統領
meant,3,動,meanの過去形
war,3,名,戦争
courage,3,名,勇気
pursue,3,動,…を追い求める
worth,3,形,…の価値がある
extend,3,動,…を広げる
go through ,3,連,（人生・生活）を送る
worth ...ing,3,連,…するだけの価値がある
himself,3,代,彼自身、自ら
word,3,名,語、単語、言葉
prepared,3,形,用意ができている、備えた
disaster,3,名,災害
shelter,3,名,避難所
store,3,動,…を蓄える
case,3,名,場合
extinguisher,3,名,消火器
in case of,3,連,…の場合には
call,3,動,（…に）電話をかける
fire,3,名,火事、火災
How much ...? ,3,連,どれくらいの量の
done,3,動,doの過去分詞
prepare,3,動,（…の）準備をする、備える
emergency,3,名,緊急事態
kit,3,名,道具［用具］一式
recommend,3,動,…をすすめる、…を推薦する
earthquake,3,名,地震
we’ve,3,短,we have
hasn’t,3,短,has not
link,3,名,リンク、接続
several,3,形,いくつかの
bridge,3,名,橋、かけ橋
between,3,前,［between ... and ～ で］…（と～）の間で［に、の］
energetic,3,形,精力的な、エネルギッシュな、活発な
encourage,3,動,…を勇気づける、励ます
personality,3,名,個性、性格、人格
hit,3,動,hitの過去形
hit,3,動,（災害・不幸などが）襲う
comfort,3,動,…を慰める、元気づける
nearby,3,形,近くの
safe,3,形,安全な
all the time,3,連,常に
kill,3,動,［be killed inで］…で死ぬ
rode,3,動,rideの過去形
bicycle,3,名,自転車
toward,3,前,…のほうへ、…に向かって
apartment,3,名,アパート［マンション］の部屋
caught,3,動,catchの過去形・過去分詞
tsunami,3,名,津波
sudden,3,形,突然の、不意の
news,3,名,ニュース、知らせ
shortly,3,副,まもなく、すぐに
corner,3,名,コーナー
exchange,3,名,交流、やりとり
program,3,名,プログラム、計画、事業
support,3,動,…を支援する、応援する
ordinary,3,形,ふつうの
crisis,3,名,危機、難局、（病気の）峠
be caught in,3,連, …に巻き込まれる
bring ... together,3,連,…を団結させる
keep on ...ing,3,連,…し続ける
no longer,3,連,もはや…ない
no longer,3,連,もはや…ない
every year,3,連,毎年
That’s very kind of you.,3,連,どうもご親切にありがとうございます。
would like ... to 〜,3,連,would like ... to 〜 …に～してほしい（のですが）
internet,3,名,インターネット
person,3,名,人、個人
image,3,名,像、肖像、印象
print,3,動,…を印刷する
leader,3,名,指導者、リーダー
greatly,3,副,おおいに、非常に
born,3,動,be born 生まれる
national,3,形,国の
non-violence,3,名,非暴力
on the internet,3,連,インターネットで
note,3,名,紙幣
independence,3,名,独立
violence,3,名,暴力
fight,3,動,たたかう
protest,3,動,抗議する
tough,3,形,困難な、難しい
human rights,3,連,人権
go on ,3,連,…をする、始める
little,3,形,ほとんど（ない）
more,3,代,もっと多くのもの［こと］
right,3,名,権利
lawyer,3,名,弁護士
British,3,形,イギリス［英国］の、イギリス人の
discrimination,3,名,差別
freely,3,副,自由に
sidewalk,3,名,歩道
accept,3,動,…を受け入れる
law,3,名,法律、法
unfair,3,形,不公平な、不当な
stood,3,動,standの過去形
arrest,3,動,…を逮捕する
jail,3,名,刑務所
non-violent,3,形,非暴力の
effective,3,形,効果的な
at that [the] time,3,連,その当時（には）
go out ,3,連,外へ出る
even if,3,連,たとえ…だとしても
British,3,名,イギリス［英国］人
even,3,副,［比較級を強調して］さらにいっそう
lead,3,動,…を導く、…を先導する
movement,3,名,（政治的・社会的な）運動
rule,3,名,支配、統治
sent,3,動,sendの過去分詞
colony,3,名,植民地
produce,3,動,…を生産する、生じる
tax,3,名,税、税金
expensive,3,形,高価な、費用のかかる
follower,3,名,信奉者、支持者
thousand,3,名/形,"1,000（の）"
kilometer,3,名,キロメートル
march,3,名,行進、マーチ
peaceful,3,形,平和な
legacy,3,名,遺産
in those days,3,連,そのころは、当時は
thousands of,3,連,何千もの、多くの
way to,3,連,…する方法
fight,3,名,たたかい
protest,3,名,抗議（運動）
put,3,動,（罪・責任など）を課す
spread,3,動,広がる、広まる
text,3,動,携帯電話などでメッセージをおくる
ban,3,動,…を禁止する
electronic,3,形,電子の
device,3,名,装置
cross,3,動,…を横切る、渡る
decision,3,名,決定、結論
bother,3,名,面倒
common,3,形,ふつうの、よくある、共通の
choose to,3,連,…することに決める
any,3,形,［主に肯定文で］どんな…でも
report,3,名,報告、レポート
position,3,名,位置、ポジション
setter,3,名,（バレーボールの）セッター
chance,3,名,機会、チャンス
spiker,3,名,（バレーボールの）スパイカー
teammate,3,名,チームの仲間、チームメイト
get the most out of,3,連,…を最大限に生かす
more,3,形,それ以上の、あと…
most,3,副,［動詞を修飾して］いちばん、最も
move,3,動,…を感動させる
thought,3,名,考え、意見
most,3,代,最多数、最大量、最大限
backpack,3,名,バックパック
overseas,3,副,外国へ［で］、海外へ［で］
unused,3,形,未使用の
supply,3,名,［suppliesで］必需品
abroad,3,副,外国に［へ、で］、海外に［へ、で］
donate,3,動,…を寄付する
this way,3,連,このように
could,3,助,canの過去形。【仮定法】…できるだろうに
wish,3,動,…であればよいのだが
Afghanistan,3,名,アフガニスタン
definitely,3,副,もちろん、確かに
so far ,3,連,今まで（は）、これまで（は）
if,3,接,【仮定法過去】（あり得ないことだが）もし…ならば
would,3,助,【仮定法】…だろうに
imagine,3,動,…を想像する
illiterate,3,形,読み書きのできない
son,3,名,息子
daughter,3,名,娘
ready,3,形,用意ができて
air,3,名,空気、空中
service,3,名,サービス、公的事業
globe,3,名,［the globeで］地球
connect,3,動,…を結びつける、つなぐ
border,3,名,国境
encourage ... to ～,3,連,…に～するよう促す
most of,3,連,…の大部分
be ready for,3,連,…の用意ができている
in the open air,3,連,屋外で
another,3,代,もう1つ［1人］、別のもの［人、こと］
most,3,代,［most of ＋ 名詞で］…の大部分、ほとんど
open,3,形,開いている、屋根のない
through,3,前,【原因・手段】…によって、…のために
depend,3,動,頼る
trade,3,名,貿易
survival,3,名,存続、生き残ること
Brazil,3,名,ブラジル
Thailand,3,名,タイ
import,3,動,…を輸入する
quite,3,副,かなり、相当
coat,3,名,上着、コート
Asian,3,形,アジア（人）の
fact,3,名,現実、事実
sold,3,動,sellの過去分詞
exception,3,名,例外
surround,3,動,…を囲む
daily,3,形,日常の
relationship,3,名,関係、結びつき
interdependent,3,形,相互に依存している
beyond,3,前,…をこえたところに［へ」
depend on,3,連,…に頼る
in fact,3,連,実際に、事実上
most,3,形,たいていの、大部分の
overseas,3,名,外国、国外
mini debate,3,名,ミニディベート
disagree,3,動,意見が合わない
judge,3,名,審判員
United States,3,名,the United States（of America）アメリカ合衆国
variety,3,名,［a (...) variety of ～で］さまざまな～、いろいろな～、…な種類の～
amazing,3,形,驚くべき
countryside,3,名,いなか
seem,3,動,…のように見える、思われる
for one thing,3,連,1つには［理由を述べるときに用いる］
eat out,3,連,外食する
not ... at all,3,連,少しも…ない
has to,3,連,…しなければならない
announce,3,動,…を発表する
winner,3,名,勝者
debate,3,名,討論、ディベート
move on,3,連,（次の課題などへ）移る、進む
we’ll,3,短,we will
electricity,3,名,電気、電力
cut,3,動,cutの過去分詞
happen,3,動,起こる、生じる
charge,3,動,…を充電する
chart,3,名,図表
coal,3,名,石炭
natural gas,3,名,天然ガス
relatively,3,副,比較的
cheap,3,形,（品物・料金が）安い
furthermore,3,副,そのうえ、さらに
run out of,3,連,…を使い果たす
release,3,動,…を放出する
energy,3,名,エネルギー
control,3,動,…を管理する
radiation,3,名,放射能
handle,3,動,…を処理する
sunshine,3,名,日光
wind,3,名,風
steam,3,名,蒸気
wave,3,名,波
renewable,3,形,再生可能な
dangerous,3,形,危険な
dam,3,名,ダム
damage,3,動,…に損害を与える
progress,3,動,進歩する
Denmark,3,名,デンマーク
quarter,3,名,4分の1
Iceland,3,名,アイスランド
heat,3,名,熱
solve,3,動,…を解決する
nuclear power,3,連,原子力
nuclear waste,3,連,核廃棄物
water power,3,連,水力
wind power,3,連,風力
power,3,名,力、能力
Azerbaijan,3,名,アゼルバイジャン
invent,3,動,…を発明する
lamp,3,名,明かり、ランプ
second,3,名,秒
liter,3,名,リットル
rainwater,3,名,雨水
battery,3,名,電池、バッテリー
sustainable,3,形,持続可能な
consumer,3,名,消費者
inventor,3,名,発明家
power,3,名,動力、電力
probably,3,副,十中八九、たぶん
count,3,動,数える
author,3,名,著者、作家
Germany,3,名,ドイツ
art school,3,名,美術学校
graphic designer,3,名,グラフィックデザイナー
drawing,3,名,絵をかくこと
line,3,名,境界（線）
outside,3,前,…の外側で［に、へ］
believe,3,動,…だと思う、信じる
publish,3,動,…を出版する、発行する
printer,3,名,印刷工、印刷業者
unusual,3,形,ふつうでない
think outside the box,3,連,自由で独創的な考え方をする
come up with,3,連,（考えなど）を思いつく
so ... that 〜,3,連,とても…なので～だ
bestseller,3,名,ベストセラー
worldwide,3,副,世界中に、世界的に
toy,3,名,おもちゃ
feature,3,名,特色、特徴
cow,3,名,ウシ
deliver,3,動,…を届ける
reader,3,名,読者
colorfulness,3,名,色の鮮やかさ
represent,3,動,…を象徴する、表現する
colorless,3,形,無色の
paint,3,動,…にペンキを塗る、（もの）を…色に塗る
inspire,3,動,（人）を奮い立たせる
play with,3,連,…で遊ぶ
inspire ... to 〜,3,連,～するように…を元気づける、激励する
any,3,形,［否定文などで］少しの…も（～ない）、何も［だれも］（～ない）
inside,3,前,…の中に、内部に
stay,3,動,とどまる、いる
wrong,3,形,まちがった
until,3,前,…まで（ずっと）、［否定文で］…までは（～しない）
imagination,3,名,想像力
gallery,3,名,美術館
studio,3,名,アトリエ
theater,3,名,劇場
fill,3,動,…を満たす
visitor,3,名,訪問客、見学者
although,3,接,…だけれども、…だが、…にもかかわらず
anymore,3,副,今ではもう…（でない）
spirit,3,名,精神、心、霊魂、幽霊
unfold,3,動,（たたんだ物）を広げる、開く
wing,3,名,羽
pass away,3,連,亡くなる
fill ... with 〜 ,3,連,…を～で満たす
not only ... but (also) ～,3,連,…だけでなく～もまた
built,3,動,buildの過去形
grow,3,動,成長する、増加する
hope,3,名,希望、見こみ
pass,3,動,なくなる、消える
