語句,単元名,意味
war,LR1,戦争
courage,LR1,勇気
pursue,LR1,…を追い求める
fold,LR1,…を折る，折りたたむ
close,LR1,…を閉じる，終える
worth,LR1,…の価値がある
extend,LR1,…を広げる
nuclear weapon,LR1,核兵器
Peace Memorial Park,LR1,平和記念公園
Barack Obama,LR1,バラク・オバマ[男性名]
sitting,LR1,現職の
guest book,LR1,記名帳
agony,LR1,激しい痛み
paper crane,LR1,折り鶴
go through,LR1,（人生・生活）を送る
weapon,LR1,武器，兵器
worth …ing,LR1,…するだけの価値がある
prepared,U4-扉,用意ができている，備えた
disaster,U4-扉,災害
shelter,U4-S1,避難所
store,U4-S1,…を蓄える
extinguisher,U4-S1,消火器
survey,U4-S1,調査
in case of,U4-S1,…の場合には
done,U4-S2,doの過去分詞
emergency,U4-S2,緊急事態
kit,U4-S2,道具［用具］一式
link,U4-S2,リンク，接続
hasn’t,U4-S2,#NAME?
earthquake,U4-RT1,地震
terrible,U4-RT1,ひどい
shaking,U4-RT1,揺れ
drove,U4-RT1,driveの過去形
parking lot,U4-RT1,駐車場
scared,U4-RT1,（…を）こわがって
finally,U4-RT1,ついに，やっと
announcement,U4-RT1,アナウンス，発表
latest,U4-RT1,最近の，最新の
fortunately,U4-RT1,幸運にも
traveler,U4-RT1,旅行者
too … to ～,U4-RT1,～するには…すぎる，あまりにも…なので～できない
get out,U4-RT1,外へ出る
pass by,U4-RT1,通り過ぎる
on the way back,U4-RT1,（帰る）途中で
go back,U4-RT1,帰る，戻る
evacuation,U4-RT2,避難
drill,U4-RT2,訓練，ドリル
resident,U4-RT2,住民，居住者
visitor,U4-RT2,観光客
simulation,U4-RT2,シミュレーション
themselves,U4-RT2,彼ら［彼女ら，それら］自身を［に］
instruction,U4-RT2,指示
given,U4-RT2,giveの過去分詞
simple,U4-RT2,単純な，簡単な
interview,U4-RT2,…にインタビューする
hand out,U4-RT2,…を配る
evacuation drill,U4-RT2,避難訓練
every year,U4-RT2,毎年
what to,U4-RT2,何を…すべきか
That's very kind of you.,LT2,どうもご親切にありがとうございます。
That's very kind of you.,LT2,どうもご親切にありがとうございます。
would like … to ～,LT2,…に～してほしい（のですが）
legacy,U5-扉,遺産
Gandhi,U5-扉,ガンディー[姓]
person,U5-S1,人，個人
respect,U5-S1,…を尊敬する，尊重する
greatly,U5-S1,おおいに，非常に
born,U5-S1,［be born］生まれる
international,U5-S1,国際的な
non-violence,U5-S1,非暴力
Mahatma,U5-S1,マハトマ[敬称]
Indian,U5-S1,《形》インドの，インド人の / 《名》インド人
rupee,U5-S1,ルピー[通貨]
independence,U5-S2,独立
violence,U5-S2,暴力
fight,U5-S2,《動》たたかう / 《名》たたかい
protest,U5-S2,《動》抗議する / 《名》抗議（運動）
tough,U5-S2,困難な，難しい
fast,U5-S2,断食（の期間）
human rights,U5-S2,人権
go on,U5-S2,①…をする，始める　②（時間が）過ぎ去る，たつ
lawyer,U5-RT1,弁護士
discrimination,U5-RT1,差別
freely,U5-RT1,自由に
sidewalk,U5-RT1,歩道
accept,U5-RT1,…を受け入れる
unfair,U5-RT1,不公平な，不当な
angry,U5-RT1,怒った，腹を立てた
lead,U5-RT1,…を導く，…を先導する
movement,U5-RT1,（政治的・社会的な）運動
arrest,U5-RT1,…を逮捕する
non-violent,U5-RT1,非暴力の
South Africa,U5-RT1,南アフリカ[国名]
at that [the] time,U5-RT1,その当時（には）
stand up,U5-RT1,立ち上がる
even if,U5-RT1,たとえ…だとしても
colony,U5-RT1,植民地
salt,U5-RT1,塩，食塩
tax,U5-RT1,税，税金
expensive,U5-RT1,高価な，費用のかかる
follower,U5-RT1,信奉者，支持者
almost,U5-RT1,ほとんど
kilometer,U5-RT1,キロメートル
reach,U5-RT1,…に着く，到着する
march,U5-RT1,行進，マーチ
news,U5-RT1,ニュース，知らせ
peaceful,U5-RT1,平和な
leader,U5-RT1,指導者，リーダー
"Martin Luther King, Jr.",U5-RT1,マーティン・ルーサー・キング・ジュニア[人名]
Nelson Mandela,U5-RT1,ネルソン・マンデラ[男性名]
in those days,U5-RT1,そのころは，当時は
thousands of,U5-RT1,何千もの，多くの
the Salt March,U5-RT1,塩の行進
growth,LW3,増加
populous,LW3,人口の多い
powerful,LW3,力強い，有力な
billion,LW3,10億
China,LW3,中国[国名]
discover,SA2,…を発見する
pretty,SA2,かわいい，きれいな
character,SA2,登場人物
behavior,SA2,ふるまい
cloth,SA2,布，服地
instead,SA2,そのかわりに
a piece of,SA2,１つ［１個，１本，１枚］の～
fold … up,SA2,…を折りたたむ
a kind of,SA2,一種の…
instead of,SA2,…のかわりに
wrestling,SA2,レスリング
plastic bag,SA2,ビニール袋
convenient,SA2,便利な
waste,SA2,《動》…をむだに使う / 《名》ごみ，廃棄物
resource,SA2,資源
beyond,U6-扉,…をこえたところに［へ」
border,U6-扉,国境
relation,U6-扉,関係
backpack,U6-S1,バックパック
campaign,U6-S1,キャンペーン
unused,U6-S1,未使用の
supply,U6-S1,［suppliesで］必需品
donate,U6-S1,…を寄付する
this way,U6-S1,このように
definitely,U6-S2,もちろん，確かに
Afghanistan,U6-S2,アフガニスタン
so far,U6-S2,今まで（は），これまで（は）
imagine,U6-RT1,…を想像する
illiterate,U6-RT1,読み書きのできない
receive,U6-RT1,…を受け取る
encourage,U6-RT1,…を勇気づける，励ます
son,U6-RT1,息子
daughter,U6-RT1,娘
ready,U6-RT1,用意ができて
building,U6-RT1,建物，ビル
air,U6-RT1,空気，空中
service,U6-RT1,サービス，公的事業
globe,U6-RT1,［the globe で］地球
exchange,U6-RT1,交流，やりとり
encourage … to ～,U6-RT1,…に～するよう促す
most of,U6-RT1,［most of＋名詞で］…の大部分，ほとんど
be ready for,U6-RT1,…の用意ができている
in the open air,U6-RT1,屋外で
depend,U6-RT1,頼る
trade,U6-RT1,貿易
survival,U6-RT1,存続，生き残ること
import,U6-RT1,…を輸入する
pork,U6-RT1,豚肉
coat,U6-RT1,上着，コート
sold,U6-RT1,sellの過去分詞
exception,U6-RT1,例外
surround,U6-RT1,…を囲む
daily,U6-RT1,日常の
interdependent,U6-RT1,相互に依存している
Brazil,U6-RT1,ブラジル[国名]
Thailand,U6-RT1,タイ[国名]
depend on,U6-RT1,…に頼る
beef,U6-RT1,牛肉
domestic,LT3,国内の
cheap,LT3,（品物・料金が）安い
seem,LT3,…のように見える，思われる
transport,LT3,…を輸送する
point,LT3,特徴，論点，ポイント
agree,LT3,賛成する，意見が一致する
disagree,LT3,意見が合わない
besides,LT3,そのうえ，さらに
food mile,LT3,フードマイル
in season,LT3,（食べ物が）旬で
agree with,LT3,…に賛成する
yen,GfC4,【小】円（日本の貨幣単位）
mini debate,SA3,ミニディベート
judge,SA3,審判員
colorful,SA3,色彩に富んだ
negative,SA3,否定的な，よくない
side,SA3,側，面
wear,SA3,…を着ている，身につけている
uniform,SA3,制服，ユニフォーム
fantastic,SA3,すばらしい，すてきな
stationery,SA3,文房具
debate,SA3,討論，ディベート
mini,SA3,小型の
countryside,SA3,いなか
eat out,SA3,外食する
not … at all,SA3,少しも…ない
announce,SA3,…を発表する
move on,SA3,（次の話題などへ）移る，進む
hear from,SA3,…の意見を聞く
electricity,LR2,電気，電力
cut,LR2,cutの過去分詞
cut,LR2,…を切る，…の供給をとめる
charge,LR2,…を充電する
smartphone,LR2,スマートフォン
oil,LR2,油，石油
coal,LR2,石炭
natural gas,LR2,天然ガス
relatively,LR2,比較的
release,LR2,…を放出する
dangerous,LR2,危険な
chemical,LR2,化学物質
health,LR2,健康
fossil fuel,LR2,化石燃料
carbon dioxide,LR2,二酸化炭素
run out of,LR2,…を使い果たす
amount,LR2,量，額
energy,LR2,エネルギー
control,LR2,…を管理する
radiation,LR2,放射能
handle,LR2,…を処理する
sunshine,LR2,日光
wind,LR2,風
steam,LR2,蒸気
ocean,LR2,大洋，海
renewable,LR2,再生可能な
dam,LR2,ダム
quarter,LR2,4分の1
heat,LR2,熱
solve,LR2,…を解決する
Denmark,LR2,デンマーク[国名]
Iceland,LR2,アイスランド[国名]
a … amount of ～,LR2,…の量の～
all the time,LR2,常に
nuclear power,LR2,原子力
nuclear waste,LR2,核廃棄物
water power,LR2,水力
wind power,LR2,風力
invent,LR2,…を発明する
rain,LR2,雨
lamp,LR2,明かり，ランプ
second,LR2,秒
liter,LR2,リットル
rainwater,LR2,雨水
battery,LR2,電池，バッテリー
sustainable,LR2,持続可能な
consumer,LR2,消費者
inventor,LR2,発明家
Reyhan Jamalova,LR2,レイハン・ジャマロバ[女性名]
Azerbaijan,LR2,アゼルバイジャン[国名]
LED,LR2,発光ダイオード
graduation,LR3,卒業
dot,LR3,点
attend,LR3,…に通う，…に出席する
college,LR3,（単科）大学
graduate,LR3,卒業する
artistic,LR3,芸術的な，美しい
interest,LR3,興味
trust,LR3,…を信頼する，…だと期待する
somehow,LR3,何らかの形で
difference,LR3,ちがい
Steve Jobs,LR3,スティーブ・ジョブス[男性名]
Mac,LR3,マック[コンピュータの名前]
Apple,LR3,アップル[会社名]
have no idea,LR3,見当もつかない
drop out,LR3,中退する
make all the difference,LR3,大きなちがいを生む
high school,LR3,高校
loss,LR3,失うこと，喪失
lucky,LR3,幸運な
garage,LR3,ガレージ，車庫
grew,LR3,growの過去形
employee,LR3,従業員
successful,LR3,成功した
focus,LR3,中心
gone,LR3,なくなった，行ってしまった
Woz,LR3,ウォズ[男性名]
run away,LR3,逃げる
get fired,LR3,解雇される
though,LR3,…だけれども
burden,LR3,負担，重荷
beginner,LR3,初心者
creative,LR3,創造力のある
animation,LR3,アニメーション
studio,LR3,スタジオ，映画撮影所
Pixar,LR3,ピクサー[会社名]
it’ll,LR3,#NAME?
mirror,LR3,鏡
cancer,LR3,（病気の）がん
limited,LR3,限られた
someone,LR3,だれか，ある人
else,LR3,（その）ほかに［の］
inner,LR3,内部の，内側の
magazine,LR3,雑誌
foolish,LR3,愚かな
arts and crafts,―,【小】図画工作，図工
beefstake,―,【小】ビーフステーキ
boots,―,【小】長ぐつ
boxing,―,【小】ボクシング
canoe,―,【小】カヌー
dodgeball,―,【小】ドッジボール
driver,―,【小】運転手
figure skater,―,【小】フィギュアスケート選手
gentle,―,【小】温厚な
home economics,―,【小】家庭科
jogging,―,【小】ジョギング
jump rope,―,【小】縄とび
magnet,―,【小】磁石
marathon,―,【小】マラソン
nut,―,【小】木の実
pencil sharpener,―,【小】えんぴつけずり
playgrounｄ,―,【小】運動場
post,―,【小】郵便ポスト
sailing,―,【小】ヨット競技
Snow Festival,―,【小】雪祭り
social studies,―,【小】社会科
soda pop,―,【小】（味つきの）炭酸入り清涼飲料水
surfing,―,【小】サーフィン
tag,―,【小】鬼ごっこ
weightlifting,―,【小】重量挙げ
zookeeper,―,【小】動物園の飼育係
